Longitude,Latitude,Name
-74.8439,39.8697,Wawa 0748
-74.725919,39.45435,Wawa 0749 (24)
-75.5164452,39.6406127,Wawa 0750 (24)
-74.471276,39.343277,Wawa 0753 (24)
-74.319104,40.335863,Wawa 0754 (24)
-74.649113,39.2633992,"Wawa 0758 (24, Gas)"
-74.9688665,39.2893537,"Wawa 0759 (24, Gas)"
-74.1554387,39.9530065,Wawa 0763 (24)
-74.998268,39.839053,Wawa 0767 (24)
-74.613087,39.252271,Wawa 0771 (24)
-74.9916349,39.5130794,Wawa 0773 (24)
-74.97401,39.66866,"Wawa 0775 (24, Gas)"
-75.0228,39.91646,Wawa 0777 (24)
-75.1112153,39.8876766,Wawa 0778 (24)
-75.1255844,39.8522415,Wawa 0779 (24)
-75.070876,39.736573,Wawa 0780 (24)
-74.367072,40.454501,Wawa 0781 (24)
-74.2464205,40.3327156,Wawa 0784
-74.075666,40.351229,Wawa 0790 (24)
-74.172544,39.862317,"Wawa 0794 (24, Gas)"
-74.535001,40.067576,Wawa 0798 (24)
-75.501638,39.770247,Wawa 0801 (24)
-75.464246,39.822373,Wawa 0809
-75.598546,39.73983,Wawa 0810 (24)
-75.533132,39.788717,Wawa 0811 (24)
-75.444215,39.812484,Wawa 0816 (24)
-75.681054,39.685306,Wawa 0817 (24)
-75.73556,39.66222,Wawa 0819 (24)
-75.660473,39.63199,Wawa 0823 (24)
-75.585816,39.673008,Wawa 0825 (24)
-75.542217,39.828692,Wawa 0826 (24)
-75.648991,39.500547,Wawa 0828 (24)
-75.695456,39.668424,Wawa 0829 (24)
-75.61504,39.31615,Wawa 0830 (24)
-75.691123,39.735413,Wawa 0831 (24)
-75.153952,38.744026,"Wawa 0834 (24, Gas)"
-75.0706445,38.5400616,Wawa 0836
-75.295606,38.584774,"Wawa 0837 (24, Gas, Diesel)"
-75.512556,39.158194,"Wawa 0838 (24, Gas, Diesel)"
-75.562381,39.709624,"Wawa 0840 (24, Gas, Diesel)"
-75.627639,39.676761,"Wawa 0841 (24, Gas)"
-75.69719,39.788554,Wawa 0842 (24)
-75.727991,39.448416,"Wawa 0843 (24, Gas)"
-75.694492,39.619375,"Wawa 0844 (24, Gas)"
-75.500997,39.122944,"Wawa 0845 (24, Gas)"
-75.547288,39.19491,"Wawa 0848 (24, Gas)"
-75.132451,38.731489,"Wawa 0849 (24, Gas)"
-75.762294,39.602858,"Wawa 0850 (24, Gas)"
-75.4317,38.928017,"Wawa 0851 (24, Gas)"
-75.580262,39.692633,"Wawa 0852 (24, Gas)"
-75.594091,39.282264,"Wawa 0853 (24, Gas)"
-75.4688,39.794091,"Wawa 0854 (24, Gas)"
-75.559008,39.158368,"Wawa 0855 (24, Gas)"
-75.55742,38.456118,"Wawa 0856 (24, Gas)"
-75.625945,39.641322,"Wawa 0857 (24, Gas)"
-75.656651,39.721365,"Wawa 0858 (24, Gas)"
-75.680341,39.453153,"Wawa 0859 (24, Gas)"
-75.733358,39.684707,"Wawa 0860 (24, Gas, Diesel)"
-75.700647,39.699964,"Wawa 0861 (24, Gas, Diesel)"
-75.550168,39.809726,"Wawa 0862 (24, Gas, Diesel)"
-74.429433,40.157225,"Wawa 0909 (24, Gas, Diesel)"
-74.228622,40.238785,Wawa 0910 (24)
-74.181967,40.433278,Wawa 0911 (24)
-74.507234,40.460928,Wawa 0912 (24)
-74.42217,40.435894,Wawa 0914 (24)
-74.805028,39.904107,"Wawa 0915 (24, Gas)"
-74.777466,40.53263,Wawa 0916 (24)
-74.068934,40.123511,Wawa 0917 (24)
-74.706414,40.127667,Wawa 0919 (24)
-74.577352,39.431983,"Wawa 0920 (24, Gas)"
-74.793677,40.101599,"Wawa 0921 (24, Gas)"
-74.139534,40.053935,Wawa 0923 (24)
-75.042647,39.446238,"Wawa 0924 (24, Gas)"
-74.702434,39.446285,"Wawa 0925 (24, Gas)"
-74.9775,39.4753,"Wawa 0926 (24, Gas)"
-74.231476,40.042364,"Wawa 0927 (24, Gas, Diesel)"
-74.126328,40.215951,"Wawa 0929 (24, Gas)"
-74.169087,39.923906,"Wawa 0931 (24, Gas)"
-75.076007,39.856346,"Wawa 0932 (24, Gas)"
-74.267057,40.083608,"Wawa 0933 (24, Gas)"
-74.286858,40.425291,"Wawa 0934 (24, Gas)"
-74.25303,39.708037,"Wawa 0935 (24, Gas)"
-74.607307,39.500142,"Wawa 0936 (24, Gas)"
-74.151793,40.004332,"Wawa 0937 (24, Gas)"
-74.225199,40.136731,"Wawa 0938 (24, Gas)"
-74.147748,39.988477,"Wawa 0939 (24, Gas)"
-74.339477,40.390648,"Wawa 0940 (24, Gas)"
-74.629564,39.444992,"Wawa 0941 (24, Gas)"
-75.041889,39.493754,"Wawa 0942 (24, Gas, Diesel)"
-74.840911,40.052088,"Wawa 0943 (24, Gas, Diesel)"
