longitude,latitude,type,address,city,state,zip
-81.3775,41.6594,Sheetz,7777 Reynolds Rd, Mentor,OH,44060
-81.4736,40.4936,Sheetz,1281 W High Ave, New Philadelphia,OH,44663
-81.4197,40.8911,Sheetz,1415 Pittsburg Avenue, North Canton,OH,44720
-80.6631,40.9875,Sheetz,9010 Market St, North Lima,OH,44452
-81.9767,41.3856,Sheetz,32390 Lorain Rd, North Ridgeville,OH,44039
-81.784105,41.4053342,Sheetz,5795 W 130th St, Parma,OH,44130
-81.735,41.3808,Sheetz,6767 Ridge Road, Parma,OH,44129
-81.1803,41.7658,Sheetz,2800 N Ridge Rd, Perry,OH,44081
-81.2467,41.1797,Sheetz,6941 State Route 44, Ravenna,OH,44266
-82.0758,41.4269,Sheetz,5295 Detroit Rd, Sheffield Village,OH,44054
-80.9045639,40.0785828,Sheetz,68500 Addie Way, St Clairsville,OH,43950
-81.4742,41.1808,Sheetz,950 E Steels Corners Rd, Stow,OH,44224
-81.3644,41.2503,Sheetz,9745 State Route 14, Streetsboro,OH,44241
-81.8586,41.3125,Sheetz,21034 Royalton Rd, Strongsville,OH,44149
-81.8258,41.3433,Sheetz,9037 Pearl Road, Strongsville,OH,44136
-81.4483,41.3117,Sheetz,2495 E Aurora Rd, Twinsburg,OH,44087
-81.7356,41.1364,Sheetz,5100 Ridge Rd, Wadsworth,OH,44281
-80.7408,41.2256,Sheetz,1162 Niles Cortland Rd Se, Warren,OH,44484
-80.7833,41.2653,Sheetz,3379 Elm Rd Ne, Warren,OH,44484
-82.0169,39.9097,Sheetz,225 N Maysville Ave, Zanesville,OH,43701
-78.3733,40.5364,Sheetz,1015 Old 6th Ave Rd, Altoona,PA,16602
-78.3542,40.54,Sheetz,1661 E Pleasant Valley Blvd, Altoona,PA,16602
-78.4006,40.5081,Sheetz,1701 7th Ave, Altoona,PA,16602
-78.3917,40.4992,Sheetz,1915 Pleasant Valley Blvd, Altoona,PA,16602
-78.4164,40.4939,Sheetz,3315 Beale Ave, Altoona,PA,16601
-78.4031,40.4783,Sheetz,400 E Plank Rd, Altoona,PA,16602
-78.4014,40.5344,Sheetz,405 East 25th Ave, Altoona,PA,16601
-78.4253,40.4725,Sheetz,5706 6th Ave, Altoona,PA,16602
-78.3914,40.4775,Sheetz,678 Frankstown Road, Altoona,PA,16602
-78.3975,40.5194,Sheetz,700 Chestnut Ave, Altoona,PA,16601
-78.3214,40.6,Sheetz,718 Bellwood Rd, Altoona,PA,16601
-80.2286,40.6267,Sheetz,100 Ohio River Blvd, Baden,PA,15005
-80.3247,40.7778,Sheetz,3611 4th Ave, Beaver Falls,PA,15010
-78.5103,40.0525,Sheetz,4354 Business 220, Bedford,PA,15522
-78.4672,40.0158,Sheetz,9402 Lincoln Hwy, Bedford,PA,15522
-77.7803,40.8842,Sheetz,2850 Benner Pike, Bellefonte,PA,16823
-77.8147,40.935,Sheetz,820 S Eagle Valley Rd, Bellefonte,PA,16823
-76.2736,41.0467,Sheetz,2100 West Front Street, Berwick,PA,18603
-76.293667,40.475206,Sheetz,8555 Lancaster Ave, Bethel,PA,19507
-80.0231,40.3511,Sheetz,4599 Library Road, Bethel Park,PA,15102
-75.39,40.63,Sheetz,3201 Schoenersville Rd, Bethlehem,PA,18017
-75.8186,40.2878,Sheetz,6600 Perkiomen Ave, Birdsboro,PA,19508
-79.2644,40.4311,Sheetz,5 E Market St, Blairsville,PA,15717
-79.2311,40.4439,Sheetz,610 Route 22 Hwy W, Blairsville,PA,15717
-76.4106,41.0122,Sheetz,2511 New Berwick Hwy, Bloomsburg,PA,17815
-78.617082,41.977247,Sheetz,2 Bolivar Dr, Bradford,PA,16701
-78.2372,39.9994,Sheetz,16417 Lincoln Hwy, Breezewood,PA,15533
-78.7869,41.2467,Sheetz,1408 Main St, Brockway,PA,15824
-79.0981,41.1644,Sheetz,300 W Main St, Brookville,PA,15825
-78.2794,41.8108,Sheetz,101 N Logan Blvd, Burnham,PA,17009
-79.881751,40.845463,Sheetz,1100 Center Ave, Butler,PA,16001
-79.90833,40.89563,Sheetz,1518 N Main Street Extension, Butler,PA,16001
-79.9269,40.8167,Sheetz,249 Pittsburgh Road, Butler,PA,16001
-79.9489,40.8775,Sheetz,356 New Castle Rd, Butler,PA,16001
-79.9672,40.8617,Sheetz,499 Evans City Rd, Butler,PA,16001
-76.9179134,40.258716,Sheetz,91 Erford Rd, Camp Hill,PA,17011
-80.1708,40.2558,Sheetz,2401 Washington Rd, Canonsburg,PA,15317
-77.1625,40.2211,Sheetz,1098 Harrisburg Pike, Carlisle,PA,17013
-77.1190221,40.2337022,Sheetz,1720 Harrisburg Pike, Carlisle,PA,17015
-77.1539,40.1992,Sheetz,1796 West Trindle Road, Carlisle,PA,17013
-77.2408,40.1906,Sheetz,1900 Ritner Hwy, Carlisle,PA,17013
-79.9544,39.8606,Sheetz,973 S 88 Rd, Carmichaels,PA,15320
-78.7093038,40.6012458,Sheetz,138 South Main Street, Carrolltown,PA,15722
-77.6719,40.835,Sheetz,106 Savannah Ln, Centre Hall,PA,16828
-77.6719,39.9367,Sheetz,1 Monticello Ct, Chambersburg,PA,17201
